"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Ervaren gezondheid (goed/zeer goed) (%)";"Bewegen/Voldoet aan beweegrichtlijn (%)";"Onder- en overgewicht/Mate van overgewicht/Ernstig overgewicht (%)";"Roker (%)";"Alcoholgebruik/Voldoet aan alcohol richtlijn (%)";"Alcoholgebruik/Drinker (%)";"Alcoholgebruik/Zware drinker (%)";"Alcoholgebruik/Overmatige drinker (%)";"Lichamelijke gezondheid/Eén of meer langdurige aandoeningen (%)";"Psychische klachten (%)";"Veerkracht/(Zeer) lage veerkracht (%)";"Hoog risico op angst of depressie (%)";"Eenzaamheid/Ernstig/zeer ernstig eenzaam (%)"
"18 jaar of ouder";"Waarde";"2016";"Nieuwe Westen";"Rotterdam                               ";"Buurt     ";"BU05990324          ";"    66.1";"    53.2";"    14.9";"    29.2";"    53.2";"    61.1";"     9.8";"     5.5";"    36.0";"       .";"       .";"    13.4";"    16.0"
"18 jaar of ouder";"Waarde";"2016";"Middelland";"Rotterdam                               ";"Buurt     ";"BU05990325          ";"    72.3";"    56.1";"    12.4";"    29.7";"    43.1";"    72.8";"    11.6";"     6.3";"    32.1";"       .";"       .";"    10.7";"    14.2"
"18 jaar of ouder";"Waarde";"2016";"Oud Mathenesse";"Rotterdam                               ";"Buurt     ";"BU05990327          ";"    67.6";"    50.5";"    16.8";"    31.1";"    50.6";"    69.7";"     9.4";"     5.6";"    35.4";"       .";"       .";"    11.4";"    17.0"
"18 jaar of ouder";"Waarde";"2016";"Witte Dorp";"Rotterdam                               ";"Buurt     ";"BU05990328          ";"    57.2";"    44.6";"    26.5";"    28.4";"    64.9";"    53.0";"     7.0";"     4.4";"    44.2";"       .";"       .";"    14.3";"    16.6"
"18 jaar of ouder";"Waarde";"2016";"Schiemond";"Rotterdam                               ";"Buurt     ";"BU05990329          ";"    67.5";"    47.9";"    17.9";"    24.0";"    55.2";"    63.9";"     8.1";"     5.2";"    36.5";"       .";"       .";"    11.8";"    14.9"
"18 jaar of ouder";"Waarde";"2016";"Overschie";"Rotterdam                               ";"Wijk      ";"WK059904            ";"    71.2";"    46.1";"    16.5";"    23.1";"    49.9";"    73.2";"     7.8";"     6.0";"    36.2";"       .";"       .";"     8.8";"    12.5"
"18 jaar of ouder";"Waarde";"2016";"Kleinpolder";"Rotterdam                               ";"Buurt     ";"BU05990451          ";"    64.5";"    43.3";"    18.5";"    24.9";"    58.0";"    64.1";"     7.3";"     5.4";"    39.6";"       .";"       .";"    11.5";"    15.7"
"18 jaar of ouder";"Waarde";"2016";"Noord Kethel";"Rotterdam                               ";"Buurt     ";"BU05990452          ";"    80.7";"    45.6";"    12.7";"    16.0";"    39.3";"    85.8";"     8.7";"     7.3";"    29.8";"       .";"       .";"     3.5";"     6.1"
"18 jaar of ouder";"Waarde";"2016";"Schieveen";"Rotterdam                               ";"Buurt     ";"BU05990454          ";"    81.6";"    47.8";"    12.8";"    17.6";"    38.9";"    86.7";"     8.1";"     6.8";"    30.1";"       .";"       .";"     3.5";"     6.0"
"18 jaar of ouder";"Waarde";"2016";"Zestienhoven";"Rotterdam                               ";"Buurt     ";"BU05990455          ";"    84.3";"    51.2";"    11.5";"    17.5";"    39.5";"    84.3";"     7.2";"     5.1";"    26.2";"       .";"       .";"     4.1";"     6.5"
"18 jaar of ouder";"Waarde";"2016";"Overschie";"Rotterdam                               ";"Buurt     ";"BU05990456          ";"    75.1";"    48.2";"    15.6";"    22.6";"    44.6";"    79.4";"     8.3";"     6.8";"    34.9";"       .";"       .";"     7.2";"    10.8"
"18 jaar of ouder";"Waarde";"2016";"Landzicht";"Rotterdam                               ";"Buurt     ";"BU05990457          ";"    65.2";"    41.2";"    21.6";"    30.3";"    44.3";"    77.9";"    10.2";"     8.0";"    43.8";"       .";"       .";"    10.3";"    13.6"
"18 jaar of ouder";"Waarde";"2016";"Noord";"Rotterdam                               ";"Wijk      ";"WK059905            ";"    70.9";"    56.1";"    13.4";"    28.7";"    44.0";"    72.9";"    11.0";"     6.3";"    33.6";"       .";"       .";"    10.8";"    13.8"
"18 jaar of ouder";"Waarde";"2016";"Agniesebuurt";"Rotterdam                               ";"Buurt     ";"BU05990515          ";"    65.5";"    54.6";"    15.9";"    30.1";"    51.1";"    64.3";"    10.5";"     6.3";"    37.3";"       .";"       .";"    13.5";"    16.7"
"18 jaar of ouder";"Waarde";"2016";"Provenierswijk";"Rotterdam                               ";"Buurt     ";"BU05990516          ";"    72.3";"    58.3";"    12.4";"    28.7";"    43.3";"    73.8";"    11.5";"     6.5";"    32.4";"       .";"       .";"    10.7";"    13.7"
"18 jaar of ouder";"Waarde";"2016";"Bergpolder";"Rotterdam                               ";"Buurt     ";"BU05990531          ";"    75.9";"    60.6";"    10.7";"    31.2";"    35.1";"    81.5";"    12.9";"     6.8";"    29.8";"       .";"       .";"     9.5";"    12.6"
"18 jaar of ouder";"Waarde";"2016";"Blijdorp";"Rotterdam                               ";"Buurt     ";"BU05990532          ";"    78.9";"    58.3";"    10.2";"    24.5";"    34.3";"    86.0";"    10.8";"     7.1";"    29.8";"       .";"       .";"     6.1";"     9.5"
"18 jaar of ouder";"Waarde";"2016";"Liskwartier";"Rotterdam                               ";"Buurt     ";"BU05990534          ";"    70.9";"    55.1";"    13.4";"    27.2";"    44.2";"    73.3";"    10.7";"     6.3";"    34.5";"       .";"       .";"    10.3";"    13.2"
"18 jaar of ouder";"Waarde";"2016";"Oude Noorden";"Rotterdam                               ";"Buurt     ";"BU05990535          ";"    64.3";"    52.6";"    16.6";"    30.5";"    53.2";"    61.8";"    10.3";"     5.5";"    37.1";"       .";"       .";"    13.9";"    16.8"
"18 jaar of ouder";"Waarde";"2016";"Blijdorpsepolder";"Rotterdam                               ";"Buurt     ";"BU05990558          ";"    68.7";"    46.9";"    18.1";"    27.6";"    39.1";"    81.3";"    10.3";"     8.6";"    39.9";"       .";"       .";"    10.4";"    11.6"
"18 jaar of ouder";"Waarde";"2016";"Hillegersberg-Schiebroek";"Rotterdam                               ";"Wijk      ";"WK059906            ";"    74.8";"    49.3";"    13.7";"    20.7";"    43.1";"    80.5";"     8.1";"     6.5";"    34.4";"       .";"       .";"     7.1";"    10.7"
"18 jaar of ouder";"Waarde";"2016";"Schiebroek";"Rotterdam                               ";"Buurt     ";"BU05990660          ";"    68.7";"    47.1";"    16.1";"    23.9";"    49.9";"    73.2";"     7.8";"     5.9";"    38.1";"       .";"       .";"    10.0";"    13.8"
"18 jaar of ouder";"Waarde";"2016";"Hillegersberg Zuid";"Rotterdam                               ";"Buurt     ";"BU05990661          ";"    80.5";"    55.8";"    11.8";"    22.5";"    36.1";"    86.1";"     9.8";"     6.9";"    29.8";"       .";"       .";"     5.6";"     8.9"
"18 jaar of ouder";"Waarde";"2016";"Hillegersberg Noord";"Rotterdam                               ";"Buurt     ";"BU05990662          ";"    72.8";"    46.1";"    14.0";"    19.3";"    43.4";"    80.8";"     7.8";"     7.1";"    36.9";"       .";"       .";"     7.1";"    11.0"
"18 jaar of ouder";"Waarde";"2016";"Terbregge";"Rotterdam                               ";"Buurt     ";"BU05990664          ";"    81.5";"    50.9";"    13.1";"    18.3";"    39.5";"    83.8";"     8.0";"     6.0";"    28.9";"       .";"       .";"     5.0";"     7.8"
"18 jaar of ouder";"Waarde";"2016";"Molenlaankwartier";"Rotterdam                               ";"Buurt     ";"BU05990665          ";"    80.7";"    49.2";"    10.6";"    14.1";"    37.9";"    87.7";"     7.1";"     6.9";"    31.4";"       .";"       .";"     3.9";"     7.3"
"18 jaar of ouder";"Waarde";"2016";"Kralingen-Crooswijk";"Rotterdam                               ";"Wijk      ";"WK059908            ";"    71.1";"    54.3";"    13.4";"    27.6";"    44.3";"    73.2";"    11.6";"     6.9";"    33.5";"       .";"       .";"    10.5";"    14.5"
"18 jaar of ouder";"Waarde";"2016";"Rubroek";"Rotterdam                               ";"Buurt     ";"BU05990814          ";"    67.6";"    54.4";"    15.2";"    29.5";"    46.6";"    70.2";"    11.8";"     6.2";"    35.3";"       .";"       .";"    11.8";"    15.4"
"18 jaar of ouder";"Waarde";"2016";"Nieuw Crooswijk";"Rotterdam                               ";"Buurt     ";"BU05990836          ";"    69.1";"    54.0";"    15.6";"    30.5";"    47.7";"    67.9";"    11.1";"     6.1";"    34.0";"       .";"       .";"    12.6";"    15.4"
"18 jaar of ouder";"Waarde";"2016";"Oud Crooswijk";"Rotterdam                               ";"Buurt     ";"BU05990837          ";"    57.8";"    48.5";"    20.0";"    31.1";"    60.6";"    54.3";"     9.4";"     5.2";"    42.2";"       .";"       .";"    16.6";"    19.4"
"18 jaar of ouder";"Waarde";"2016";"Kralingen West";"Rotterdam                               ";"Buurt     ";"BU05990841          ";"    70.7";"    55.5";"    13.0";"    28.7";"    44.3";"    71.6";"    12.4";"     6.9";"    33.6";"       .";"       .";"    10.8";"    14.5"
"18 jaar of ouder";"Waarde";"2016";"Kralingen Oost";"Rotterdam                               ";"Buurt     ";"BU05990842          ";"    82.6";"    58.3";"     7.8";"    20.5";"    33.1";"    88.0";"    11.8";"     8.2";"    27.0";"       .";"       .";"     4.9";"     9.1"
"18 jaar of ouder";"Waarde";"2016";"Kralingse Bos";"Rotterdam                               ";"Buurt     ";"BU05990843          ";"    74.0";"    43.8";"    17.7";"    27.4";"    41.6";"    79.3";"     9.5";"     7.8";"    35.2";"       .";"       .";"     7.8";"    10.6"
"18 jaar of ouder";"Waarde";"2016";"De Esch";"Rotterdam                               ";"Buurt     ";"BU05990845          ";"    69.7";"    44.7";"    15.7";"    24.7";"    47.1";"    76.0";"     8.6";"     6.4";"    36.4";"       .";"       .";"    10.3";"    16.0"
"18 jaar of ouder";"Waarde";"2016";"Struisenburg";"Rotterdam                               ";"Buurt     ";"BU05990847          ";"    80.2";"    60.8";"     8.2";"    27.6";"    32.7";"    85.1";"    14.4";"     8.6";"    26.0";"       .";"       .";"     6.8";"    12.7"
"18 jaar of ouder";"Waarde";"2016";"Feijenoord";"Rotterdam                               ";"Wijk      ";"WK059910            ";"    61.1";"    44.4";"    20.1";"    30.2";"    61.1";"    56.2";"     7.7";"     4.9";"    39.4";"       .";"       .";"    14.8";"    18.4"
"18 jaar of ouder";"Waarde";"2016";"Kop van Zuid";"Rotterdam                               ";"Buurt     ";"BU05991017          ";"    83.8";"    59.2";"     9.6";"    24.9";"    33.8";"    85.2";"    11.0";"     6.8";"    22.6";"       .";"       .";"     6.5";"    10.8"
"18 jaar of ouder";"Waarde";"2016";"Kop van Zuid - Entrepot";"Rotterdam                               ";"Buurt     ";"BU05991079          ";"    67.1";"    47.5";"    16.9";"    24.7";"    53.5";"    65.4";"     7.7";"     5.5";"    36.1";"       .";"       .";"    11.5";"    15.6"
"18 jaar of ouder";"Waarde";"2016";"Vreewijk";"Rotterdam                               ";"Buurt     ";"BU05991080          ";"    59.4";"    42.0";"    21.6";"    29.9";"    56.6";"    65.4";"     9.0";"     6.2";"    43.6";"       .";"       .";"    13.2";"    17.3"
"18 jaar of ouder";"Waarde";"2016";"Bloemhof";"Rotterdam                               ";"Buurt     ";"BU05991081          ";"    59.6";"    44.2";"    21.2";"    34.4";"    66.3";"    49.7";"     7.4";"     4.4";"    39.3";"       .";"       .";"    16.7";"    19.6"
"18 jaar of ouder";"Waarde";"2016";"Hillesluis";"Rotterdam                               ";"Buurt     ";"BU05991082          ";"    60.5";"    43.6";"    20.8";"    32.9";"    69.1";"    45.1";"     6.7";"     3.6";"    37.9";"       .";"       .";"    16.5";"    19.8"
"18 jaar of ouder";"Waarde";"2016";"Katendrecht";"Rotterdam                               ";"Buurt     ";"BU05991085          ";"    66.9";"    46.3";"    18.1";"    25.2";"    53.4";"    68.6";"     7.4";"     5.3";"    36.9";"       .";"       .";"    11.0";"    15.4"
"18 jaar of ouder";"Waarde";"2016";"Afrikaanderwijk";"Rotterdam                               ";"Buurt     ";"BU05991086          ";"    53.7";"    40.6";"    23.0";"    31.6";"    71.3";"    42.0";"     6.1";"     3.6";"    43.0";"       .";"       .";"    19.1";"    21.2"
"18 jaar of ouder";"Waarde";"2016";"Feijenoord";"Rotterdam                               ";"Buurt     ";"BU05991087          ";"    53.8";"    42.0";"    22.5";"    30.0";"    69.1";"    44.3";"     6.3";"     3.7";"    43.0";"       .";"       .";"    18.9";"    22.9"
"18 jaar of ouder";"Waarde";"2016";"Noordereiland";"Rotterdam                               ";"Buurt     ";"BU05991088          ";"    69.2";"    49.8";"    14.7";"    27.6";"    42.7";"    76.8";"    10.3";"     7.2";"    35.9";"       .";"       .";"    10.1";"    14.5"
"18 jaar of ouder";"Waarde";"2016";"IJsselmonde";"Rotterdam                               ";"Wijk      ";"WK059912            ";"    66.7";"    41.1";"    19.5";"    26.7";"    56.3";"    68.6";"     7.5";"     5.1";"    38.2";"       .";"       .";"    10.6";"    15.5"
"18 jaar of ouder";"Waarde";"2016";"Oud IJsselmonde";"Rotterdam                               ";"Buurt     ";"BU05991283          ";"    77.1";"    43.9";"    16.4";"    22.5";"    48.1";"    77.8";"     7.7";"     6.1";"    32.5";"       .";"       .";"     6.4";"    10.6"
"18 jaar of ouder";"Waarde";"2016";"Lombardijen";"Rotterdam                               ";"Buurt     ";"BU05991284          ";"    63.8";"    40.1";"    20.0";"    28.3";"    59.6";"    64.5";"     7.1";"     4.9";"    39.5";"       .";"       .";"    12.0";"    17.6"
"18 jaar of ouder";"Waarde";"2016";"Groot IJsselmonde";"Rotterdam                               ";"Buurt     ";"BU05991289          ";"    65.3";"    40.5";"    19.6";"    26.3";"    56.7";"    68.2";"     7.7";"     5.2";"    39.5";"       .";"       .";"    10.7";"    15.4"
"18 jaar of ouder";"Waarde";"2016";"Beverwaard";"Rotterdam                               ";"Buurt     ";"BU05991290          ";"    68.0";"    42.2";"    20.4";"    28.4";"    55.7";"    69.4";"     7.6";"     4.8";"    36.5";"       .";"       .";"    11.1";"    15.7"
"18 jaar of ouder";"Waarde";"2016";"Pernis";"Rotterdam                               ";"Wijk      ";"WK059913            ";"    75.6";"    43.8";"    18.3";"    22.4";"    42.8";"    80.7";"     9.0";"     7.2";"    34.7";"       .";"       .";"     6.1";"     9.5"
"18 jaar of ouder";"Waarde";"2016";"Pernis";"Rotterdam                               ";"Buurt     ";"BU05991391          ";"    75.6";"    43.8";"    18.3";"    22.4";"    42.8";"    80.7";"     9.0";"     7.2";"    34.7";"       .";"       .";"     6.1";"     9.5"
"18 jaar of ouder";"Waarde";"2016";"Prins Alexander";"Rotterdam                               ";"Wijk      ";"WK059914            ";"    71.2";"    45.7";"    16.3";"    22.3";"    48.0";"    77.3";"     8.4";"     6.3";"    37.5";"       .";"       .";"     8.1";"    12.1"
"18 jaar of ouder";"Waarde";"2016";"'s-Gravenland";"Rotterdam                               ";"Buurt     ";"BU05991444          ";"    79.8";"    48.4";"    13.0";"    18.7";"    40.4";"    83.6";"     7.9";"     6.7";"    31.3";"       .";"       .";"     5.3";"     8.6"
"18 jaar of ouder";"Waarde";"2016";"Kralingseveer";"Rotterdam                               ";"Buurt     ";"BU05991446          ";"    76.9";"    47.0";"    15.8";"    22.1";"    42.8";"    82.6";"     8.2";"     6.1";"    33.0";"       .";"       .";"     6.4";"    10.0"
"18 jaar of ouder";"Waarde";"2016";"Prinsenland";"Rotterdam                               ";"Buurt     ";"BU05991448          ";"    68.6";"    43.8";"    16.5";"    22.3";"    48.1";"    76.0";"     8.7";"     6.6";"    39.7";"       .";"       .";"     8.6";"    12.9"
"18 jaar of ouder";"Waarde";"2016";"Het Lage Land";"Rotterdam                               ";"Buurt     ";"BU05991449          ";"    69.9";"    47.0";"    15.3";"    23.9";"    46.3";"    77.4";"     9.3";"     6.4";"    37.3";"       .";"       .";"     8.7";"    13.1"
"18 jaar of ouder";"Waarde";"2016";"Ommoord";"Rotterdam                               ";"Buurt     ";"BU05991463          ";"    67.8";"    43.2";"    17.2";"    21.8";"    50.5";"    76.2";"     8.2";"     6.7";"    41.3";"       .";"       .";"     8.4";"    12.4"
"18 jaar of ouder";"Waarde";"2016";"Zevenkamp";"Rotterdam                               ";"Buurt     ";"BU05991466          ";"    70.2";"    46.5";"    17.9";"    24.8";"    50.2";"    75.1";"     8.4";"     6.0";"    37.8";"       .";"       .";"     9.4";"    13.5"
"18 jaar of ouder";"Waarde";"2016";"Oosterflank";"Rotterdam                               ";"Buurt     ";"BU05991467          ";"    66.2";"    46.1";"    18.2";"    25.9";"    51.1";"    73.7";"     8.9";"     6.4";"    40.6";"       .";"       .";"    10.4";"    15.1"
"18 jaar of ouder";"Waarde";"2016";"Nesselande";"Rotterdam                               ";"Buurt     ";"BU05991468          ";"    82.6";"    48.6";"    13.0";"    17.4";"    43.7";"    82.6";"     7.4";"     5.0";"    28.0";"       .";"       .";"     4.7";"     7.5"
"18 jaar of ouder";"Waarde";"2016";"Charlois";"Rotterdam                               ";"Wijk      ";"WK059915            ";"    65.1";"    45.3";"    18.8";"    31.5";"    56.6";"    64.4";"     8.5";"     5.0";"    36.9";"       .";"       .";"    12.7";"    17.4"
"18 jaar of ouder";"Waarde";"2016";"Charlois Zuidrand";"Rotterdam                               ";"Buurt     ";"BU05991570          ";"    77.5";"    45.2";"    15.6";"    18.0";"    45.8";"    82.0";"     7.3";"     6.3";"    33.0";"       .";"       .";"     4.4";"     7.5"
"18 jaar of ouder";"Waarde";"2016";"Tarwewijk";"Rotterdam                               ";"Buurt     ";"BU05991571          ";"    65.7";"    49.5";"    17.8";"    35.0";"    56.7";"    60.8";"     8.9";"     4.8";"    34.1";"       .";"       .";"    13.8";"    18.4"
"18 jaar of ouder";"Waarde";"2016";"Carnisse";"Rotterdam                               ";"Buurt     ";"BU05991572          ";"    69.3";"    50.1";"    16.5";"    35.3";"    51.4";"    68.6";"    10.1";"     5.4";"    32.6";"       .";"       .";"    11.7";"    17.0"
"18 jaar of ouder";"Waarde";"2016";"Zuidwijk";"Rotterdam                               ";"Buurt     ";"BU05991573          ";"    61.0";"    39.9";"    20.7";"    29.5";"    59.8";"    63.5";"     7.9";"     5.0";"    41.2";"       .";"       .";"    13.5";"    18.2"
"18 jaar of ouder";"Waarde";"2016";"Oud Charlois";"Rotterdam                               ";"Buurt     ";"BU05991574          ";"    66.6";"    47.5";"    18.4";"    30.9";"    55.1";"    65.5";"     8.7";"     5.0";"    36.5";"       .";"       .";"    12.5";"    16.7"
"18 jaar of ouder";"Waarde";"2016";"Wielewaal";"Rotterdam                               ";"Buurt     ";"BU05991575          ";"    56.8";"    34.4";"    22.8";"    28.4";"    57.3";"    67.9";"     7.6";"     6.2";"    48.7";"       .";"       .";"    12.1";"    16.9"
"18 jaar of ouder";"Waarde";"2016";"Zuidplein";"Rotterdam                               ";"Buurt     ";"BU05991576          ";"    67.8";"    44.9";"    16.7";"    30.8";"    51.6";"    70.6";"     9.0";"     5.8";"    36.6";"       .";"       .";"     9.8";"    15.1"
"18 jaar of ouder";"Waarde";"2016";"Pendrecht";"Rotterdam                               ";"Buurt     ";"BU05991577          ";"    63.0";"    41.6";"    20.4";"    28.4";"    62.0";"    60.5";"     6.9";"     4.3";"    38.3";"       .";"       .";"    13.3";"    17.9"
"18 jaar of ouder";"Waarde";"2016";"Zuiderpark";"Rotterdam                               ";"Buurt     ";"BU05991578          ";"    58.1";"    34.1";"    21.3";"    22.9";"    54.8";"    74.1";"     9.5";"     7.6";"    50.6";"       .";"       .";"    10.9";"    17.2"
"18 jaar of ouder";"Waarde";"2016";"Heijplaat";"Rotterdam                               ";"Buurt     ";"BU05991593          ";"    67.0";"    39.1";"    21.9";"    26.3";"    48.1";"    73.5";"     9.5";"     6.7";"    38.6";"       .";"       .";"     9.9";"    12.9"
"18 jaar of ouder";"Waarde";"2016";"Hoogvliet";"Rotterdam                               ";"Wijk      ";"WK059916            ";"    69.3";"    41.8";"    20.4";"    25.1";"    51.0";"    75.6";"     7.6";"     5.2";"    38.2";"       .";"       .";"     8.6";"    12.2"
"18 jaar of ouder";"Waarde";"2016";"Hoogvliet Noord";"Rotterdam                               ";"Buurt     ";"BU05991692          ";"    69.9";"    42.4";"    21.1";"    26.2";"    52.2";"    73.7";"     7.7";"     4.9";"    36.9";"       .";"       .";"     9.1";"    12.8"
"18 jaar of ouder";"Waarde";"2016";"Hoogvliet Zuid";"Rotterdam                               ";"Buurt     ";"BU05991699          ";"    69.0";"    41.6";"    20.0";"    24.5";"    50.4";"    76.7";"     7.5";"     5.4";"    38.9";"       .";"       .";"     8.3";"    11.9"
"18 jaar of ouder";"Waarde";"2016";"Hoek van Holland";"Rotterdam                               ";"Wijk      ";"WK059917            ";"    75.7";"    49.4";"    15.4";"    21.4";"    39.9";"    84.2";"     7.8";"     7.2";"    36.5";"       .";"       .";"     6.4";"     9.8"
"18 jaar of ouder";"Waarde";"2016";"Strand en Duin";"Rotterdam                               ";"Buurt     ";"BU05991701          ";"    85.7";"    54.9";"    11.4";"    17.7";"    31.7";"    89.8";"     7.8";"     6.8";"    27.8";"       .";"       .";"     3.3";"     5.8"
"18 jaar of ouder";"Waarde";"2016";"Dorp";"Rotterdam                               ";"Buurt     ";"BU05991702          ";"    73.0";"    48.0";"    16.5";"    22.4";"    42.0";"    82.7";"     7.8";"     7.3";"    38.8";"       .";"       .";"     7.2";"    10.8"
"18 jaar of ouder";"Waarde";"2016";"Rijnpoort";"Rotterdam                               ";"Buurt     ";"BU05991703          ";"    82.2";"    50.0";"    11.5";"    18.7";"    35.6";"    87.4";"     9.9";"     8.0";"    28.0";"       .";"       .";"     3.5";"     7.2"
"18 jaar of ouder";"Waarde";"2016";"Spaanse Polder";"Rotterdam                               ";"Wijk      ";"WK059918            ";"    75.9";"    45.6";"    15.8";"    23.2";"    43.5";"    81.3";"     8.9";"     7.3";"    33.5";"       .";"       .";"     6.5";"    10.4"
"18 jaar of ouder";"Waarde";"2016";"Spaanse Polder";"Rotterdam                               ";"Buurt     ";"BU05991853          ";"    75.9";"    45.6";"    15.8";"    23.2";"    43.5";"    81.3";"     8.9";"     7.3";"    33.5";"       .";"       .";"     6.5";"    10.4"
"18 jaar of ouder";"Waarde";"2016";"Nieuw Mathenesse";"Rotterdam                               ";"Wijk      ";"WK059919            ";"    62.9";"    41.5";"    24.4";"    45.5";"    48.6";"    65.9";"    10.2";"     8.4";"    40.5";"       .";"       .";"    12.8";"    25.8"
"18 jaar of ouder";"Waarde";"2016";"Nieuw Mathenesse";"Rotterdam                               ";"Buurt     ";"BU05991926          ";"    62.9";"    41.5";"    24.4";"    45.5";"    48.6";"    65.9";"    10.2";"     8.4";"    40.5";"       .";"       .";"    12.8";"    25.8"
"18 jaar of ouder";"Waarde";"2016";"Waalhaven-Eemhaven";"Rotterdam                               ";"Wijk      ";"WK059921            ";"    67.9";"    41.1";"    16.0";"    37.4";"    48.7";"    74.2";"     9.5";"     7.4";"    37.3";"       .";"       .";"     6.9";"    12.3"
"18 jaar of ouder";"Waarde";"2016";"Waalhaven";"Rotterdam                               ";"Buurt     ";"BU05992194          ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Eemhaven";"Rotterdam                               ";"Buurt     ";"BU05992196          ";"    64.8";"    38.1";"    15.1";"    36.9";"    51.0";"    73.8";"     8.7";"     7.7";"    41.6";"       .";"       .";"     6.2";"    10.1"
"18 jaar of ouder";"Waarde";"2016";"Waalhaven Zuid";"Rotterdam                               ";"Buurt     ";"BU05992198          ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Vondelingenplaat";"Rotterdam                               ";"Wijk      ";"WK059922            ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Vondelingenplaat";"Rotterdam                               ";"Buurt     ";"BU05992295          ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Botlek-Europoort-Maasvlakte";"Rotterdam                               ";"Wijk      ";"WK059923            ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Botlek";"Rotterdam                               ";"Buurt     ";"BU05992306          ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Europoort";"Rotterdam                               ";"Buurt     ";"BU05992307          ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Maasvlakte";"Rotterdam                               ";"Buurt     ";"BU05992308          ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Rotterdam-Noord-West";"Rotterdam                               ";"Wijk      ";"WK059924            ";"    83.4";"    54.4";"     8.5";"    30.0";"    31.1";"    88.3";"    16.4";"     8.5";"    23.4";"       .";"       .";"     7.8";"    13.3"
"18 jaar of ouder";"Waarde";"2016";"Bedrijvenpark Noord-West";"Rotterdam                               ";"Buurt     ";"BU05992459          ";"    83.4";"    54.4";"     8.5";"    30.0";"    31.1";"    88.3";"    16.4";"     8.5";"    23.4";"       .";"       .";"     7.8";"    13.3"
"18 jaar of ouder";"Waarde";"2016";"Rivium";"Rotterdam                               ";"Wijk      ";"WK059925            ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Rivium";"Rotterdam                               ";"Buurt     ";"BU05992540          ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2016";"Rozenburg";"Rotterdam                               ";"Wijk      ";"WK059927            ";"    73.9";"    46.8";"    18.3";"    23.0";"    42.6";"    80.6";"     8.3";"     6.5";"    37.2";"       .";"       .";"     6.5";"    10.5"
"18 jaar of ouder";"Waarde";"2016";"Rozenburg";"Rotterdam                               ";"Buurt     ";"BU05992704          ";"    73.9";"    46.8";"    18.3";"    23.0";"    42.6";"    80.6";"     8.3";"     6.5";"    37.2";"       .";"       .";"     6.5";"    10.5"
"18 jaar of ouder";"Waarde";"2016";"Noordzeeweg";"Rotterdam                               ";"Buurt     ";"BU05992705          ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
